Pizzeria Delfina	(415) 437-6800	 Pizza, Italian	3611 18th St	94110	pizzeria-delfina-san-francisco
Limón Rotisserie	(415) 252-0918	 Peruvian	524 Valencia St	94110	lim%C3%B3n-rotisserie-san-francisco-4
Chow	(415) 552-2469	 American (Traditional), Breakfast & Brunch	215 Church St	94114	chow-san-francisco
Hard Knox Cafe	(415) 648-3770	 Southern, Soul Food	2526 3rd St	94107	hard-knox-cafe-san-francisco
Mission Beach Café	(415) 861-0198	 American (New), Breakfast & Brunch	198 Guerrero St	94103	mission-beach-caf%C3%A9-san-francisco-3
Chez Maman	(415) 824-7166	 French, Burgers, Creperies	1453 18th St	94107	chez-maman-san-francisco
Maverick	(415) 863-3061	 American (New)	3316 17th St	94110	maverick-san-francisco
Yamo	(415) 553-8911	 Burmese, Chinese	3406 18th St	94110	yamo-san-francisco
Pacific Catch	(415) 504-6905	 Seafood	1200 9th Ave	94122	pacific-catch-san-francisco-2
Slow Club	(415) 241-9390	 American (New)	2501 Mariposa St	94110	slow-club-san-francisco
Pakwan	(415) 255-2440	 Indian, Pakistani	3180 82 16th St	94103	pakwan-san-francisco
Sunflower Authentic Vietnamese Restaurant	(415) 626-5022	 Vietnamese	3111 16th St	94103	sunflower-authentic-vietnamese-restaurant-san-francisco-2
Mission Chinese Food	(415) 863-2800	 Chinese	2234 Mission St	94110	mission-chinese-food-san-francisco-4
The Blue Plate	(415) 282-6777	 American (New)	3218 Mission St	94110	the-blue-plate-san-francisco
Bar Tartine	(415) 487-1600	 Wine Bars, Breakfast & Brunch	561 Valencia St	94110	bar-tartine-san-francisco
SO	(415) 552-7676	 Asian Fusion, Chinese	1010 Bryant St	94103	so-san-francisco-4
Starbelly	(415) 252-7500	 American (New)	3583 16th St	94114	starbelly-san-francisco
Koo	(415) 731-7077	 Japanese, Sushi Bars	408 Irving St	94122	koo-san-francisco
Sushi Zone	(415) 621-1114	 Sushi Bars, Japanese	1815 Market St	94103	sushi-zone-san-francisco
Little Star Pizza	(415) 441-1118	 Pizza	846 Divisadero St	94117	little-star-pizza-san-francisco
Mandalay	(415) 386-3896	 Burmese	4344 California St	94118	mandalay-san-francisco
Broken Record	(415) 963-1713	 Dive Bars, Burgers	1166 Geneva Ave	94112	broken-record-san-francisco
Izakaya Sozai	(415) 742-5122	 Japanese, Tapas/Small Plates	1500 Irving St	94122	izakaya-sozai-san-francisco
Outerlands	(415) 661-6140	 American (New)	4001 Judah St	94122	outerlands-san-francisco
Pizzetta 211	(415) 379-9880	 Pizza	211 23rd Ave	94121	pizzetta-211-san-francisco
Pho Huynh Hiep 2 - Kevin's Noodle House	(415) 664-0469	 Vietnamese	1833 Irving St	94122	pho-huynh-hiep-2-kevins-noodle-house-san-francisco
Yummy Yummy	(415) 566-4722	 Vietnamese	1015 Irving St	94122	yummy-yummy-san-francisco
Kabuto Restaurant	(415) 752-5652	 Sushi Bars, Japanese	5121 Geary Blvd	94118	kabuto-restaurant-san-francisco
Hong Kong Lounge	(415) 668-8836	 Dim Sum	5322 Geary Blvd	94121	hong-kong-lounge-san-francisco
